id;origen;fuente;no_enviar_email;no_llamar;compra;visitas_total;tiempo_en_site_total;paginas_vistas_visita;ult_actividad;ambito;ocupacion;conociste_google;conociste_revista;conociste_periodico;conociste_youtube;conociste_facebook;conociste_referencias;score_actividad;score_perfil;descarga_lm;fecha_interaccion;fecha_inicio_contrato;fecha_fin_contrato
660737;API;Chat;No;No;0;0;0;0;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;15;No;9/05/2021;;
660728;API;Organic Search;No;No;0;5;674;2.5;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;15;No;3/06/2022;;
660680;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No;16/07/2020;;
660673;Landing Page Submission;Google;No;No;1;2;1640;2;Email Opened;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;14;20;No;11/09/2020;19/10/2020;14/06/2022
660562;API;Organic Search;No;No;1;11;1538;11;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;16;16;No;16/08/2022;5/11/2022;19/01/2024
660553;Landing Page Submission;Direct Traffic;Yes;No;0;1;481;1;Email Bounced;SG3 - Otros;Asistente de logistica;No;No;No;No;No;No;16;17;No;26/10/2021;;
660547;API;Organic Search;No;No;1;6;1012;6;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;23/04/2021;11/06/2021;20/03/2023
660534;API;Referral Sites;No;No;0;6;973;6;Email Link Clicked;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;13;13;No;20/11/2020;;
660522;Landing Page Submission;Google;No;No;1;6;1688;3;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;18;No;15/02/2021;9/05/2021;14/04/2023
660509;API;Organic Search;No;No;0;3;98;3;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;6/06/2022;;
660479;Landing Page Submission;Google;No;No;0;1;233;1;Unreachable;SG1C - Aerolineas;Asistente de logistica;No;No;No;No;No;No;13;17;No;27/08/2021;;
660478;API;Google;No;No;0;4;377;1.33;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;16;No;15/08/2022;;
660471;Landing Page Submission;Google;No;No;1;1;1013;1;Converted to Lead;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;15;20;No;5/05/2021;20/07/2021;28/02/2023
660447;Landing Page Submission;Google;No;No;1;3;1068;3;Form Submitted on Website;SG1C - Aerolineas;Asistente de logistica;No;No;No;No;No;No;14;16;No;20/07/2021;21/09/2021;16/09/2023
660410;API;Google;No;No;1;3;78;3;Unreachable;SG3 - Otros;Asistente de logistica;No;No;No;No;No;No;16;18;No;6/11/2022;6/12/2022;20/11/2024
660402;Landing Page Submission;Direct Traffic;No;No;1;7;1174;3.5;Email Opened;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;15;18;Yes;6/08/2021;20/10/2021;10/10/2023
660374;API;Google;No;No;0;3;88;1.5;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;13;15;No;23/11/2022;;
660339;API;Organic Search;No;No;0;3;74;1.5;Email Opened;;;No;No;No;No;No;No;12;15;No;28/06/2020;;
660333;Landing Page Submission;Organic Search;No;No;1;4;16;2;Page Visited on Website;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;15;17;Yes;30/09/2021;17/11/2021;6/03/2023
660321;API;Referral Sites;No;No;1;3;98;3;Email Opened;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;14;15;No;15/09/2020;2/11/2020;11/09/2022
660312;Landing Page Submission;Google;No;No;0;4;1622;4;Unreachable;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;12;18;No;19/03/2022;;
660267;Landing Page Submission;Google;No;No;1;5;563;5;Email Opened;SG1A - Agentes de Carga;Gerente de operaciones logisticas;No;No;No;No;No;No;13;20;No;7/07/2020;2/10/2020;22/04/2022
660255;API;Google;No;No;0;2;310;2;Email Link Clicked;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;19/01/2020;;
660236;Landing Page Submission;Google;No;No;1;4;25;4;Email Opened;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;14;19;No;2/03/2022;24/05/2022;17/09/2023
660235;API;Direct Traffic;No;No;0;3;342;3;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;13/11/2021;;
660222;Landing Page Submission;Organic Search;Yes;No;0;7;38;7;Unsubscribed;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;13;18;Yes;5/12/2022;;
660203;Landing Page Submission;Google;No;No;0;5;222;5;Email Opened;SG1A - Agentes de Carga;;No;No;No;No;No;No;13;18;No;14/05/2020;;
