id;origen;fuente;no_enviar_email;no_llamar;compra;visitas_total;tiempo_en_site_total;paginas_vistas_visita;ult_actividad;ambito;ocupacion;conociste_google;conociste_revista;conociste_periodico;conociste_youtube;conociste_facebook;conociste_referencias;score_actividad;score_perfil;descarga_lm;fecha_interaccion;fecha_inicio_contrato;fecha_fin_contrato
660727;Landing Page Submission;Direct Traffic;No;No;1;2;1532;2;Email Opened;SG3 - Otros;Supervisor de almacen;No;No;No;No;No;No;14;20;Yes;16/12/2023;30/01/2024;13/10/2025
660719;Landing Page Submission;Direct Traffic;No;No;0;1;305;1;Unreachable;SG1C - Aerolineas;Asistente de logistica;No;No;No;No;No;No;13;17;No;14/10/2023;;
660681;Landing Page Submission;Google;No;No;1;2;1428;1;Converted to Lead;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;18;No;24/04/2023;19/06/2023;23/03/2025
660664;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;15;15;No;26/11/2023;;
660624;Landing Page Submission;Direct Traffic;No;No;0;2;71;2;Email Opened;SG2B - Exportadores;;No;No;No;No;No;No;14;14;Yes;13/02/2023;;
660616;API;Google;No;No;0;4;58;4;Email Opened;SG1A - Agentes de Carga;;No;No;No;No;No;No;13;16;No;21/06/2023;;
660608;Landing Page Submission;Organic Search;No;No;1;8;1351;8;Email Opened;SG1C - Aerolineas;Asistente de logistica;No;No;No;No;No;No;15;14;Yes;25/01/2023;11/03/2023;27/01/2025
660570;Landing Page Submission;Direct Traffic;No;No;1;8;1343;2.67;Page Visited on Website;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;14;17;Yes;13/10/2023;2/12/2023;26/12/2024
660558;Landing Page Submission;Organic Search;No;No;0;5;170;5;Email Opened;SG3 - Otros;Asistente de logistica;No;No;No;No;No;No;14;17;Yes;22/10/2023;;
660540;API;Chat;No;No;0;0;0;0;Chat Conversation;;;No;No;No;No;No;No;17;15;No;27/02/2023;;
660461;Landing Page Submission;Google;No;No;0;4;771;4;Email Link Clicked;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;18;No;23/12/2023;;
660458;API;Google;No;No;1;6;1137;1.5;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;18;Yes;14/08/2023;16/10/2023;19/02/2025
660432;Landing Page Submission;Organic Search;No;No;1;4;1000;2;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;11;18;Yes;20/06/2023;22/08/2023;13/01/2025
660424;Landing Page Submission;Google;No;No;1;6;1315;6;Email Opened;SG1C - Aerolineas;Asistente de logistica;No;No;No;No;No;No;15;19;No;2/05/2023;25/06/2023;20/10/2024
660423;Landing Page Submission;Direct Traffic;No;No;0;5;182;5;Email Opened;SG1A - Agentes de Carga;Supervisor de almacen;No;No;No;No;No;No;13;18;No;25/07/2023;;
660361;API;Referral Sites;No;No;0;4;223;2;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;13;No;29/01/2023;;
660215;API;Google;No;No;0;5;199;5;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;24/02/2023;;
660180;Landing Page Submission;Google;No;No;0;4;287;2;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;13;18;No;12/04/2023;;
660174;Landing Page Submission;Direct Traffic;No;No;0;2;547;2;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;20;Yes;24/03/2023;;
659875;Landing Page Submission;Google;No;No;1;1;157;1;Converted to Lead;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;15;14;No;7/11/2023;20/01/2024;19/01/2025
659727;Landing Page Submission;Google;No;No;1;6;595;3;Email Opened;SG2B - Exportadores;Gerente de operaciones logisticas;No;No;No;No;No;No;14;20;No;20/04/2023;12/06/2023;9/02/2025
659710;Lead Add Form;Reference;No;No;1;;705;;;SG2B - Exportadores;Gerente de operaciones logisticas;No;No;No;No;No;No;14;16;No;8/02/2023;24/03/2023;26/01/2025
659704;API;Chat;No;No;1;0;0;0;Email Link Clicked;SG2A - Importadores;Gerente de operaciones logisticas;No;No;No;No;No;No;15;16;No;22/04/2023;4/06/2023;16/01/2025
659567;Landing Page Submission;Direct Traffic;No;No;0;3;536;3;Unreachable;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;9;18;Yes;10/05/2023;;
659480;API;Chat;No;No;1;0;0;0;Email Opened;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;15;No;10/02/2023;5/04/2023;29/01/2025
659463;API;Google;No;No;1;5;1196;5;Page Visited on Website;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;15;No;17/01/2023;18/03/2023;23/09/2024
659357;Landing Page Submission;Google;No;No;0;8;652;4;Unreachable;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;13;15;No;27/06/2023;;
659287;API;Organic Search;No;No;0;3;273;3;Converted to Lead;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;14;15;No;18/09/2023;;
659241;API;Referral Sites;No;No;0;16;53;16;Chat Conversation;;;No;No;No;No;No;No;15;13;No;15/09/2023;;
659221;Landing Page Submission;Organic Search;Yes;No;0;5;100;5;Page Visited on Website;SG2A - Importadores;Asistente de logistica;No;No;No;No;No;No;15;18;Yes;5/05/2023;;
659203;API;Google;No;No;1;2;160;1;Chat Conversation;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;16;15;No;14/08/2023;9/10/2023;17/08/2025
659191;Lead Add Form;Reference;No;No;1;0;0;0;Email Opened;SG1A - Agentes de Carga;Analista de comercio exterior;No;No;No;No;No;No;15;19;No;24/06/2023;27/07/2023;26/06/2025
659132;Landing Page Submission;Referral Sites;No;No;0;7;41;3.5;Email Opened;SG2B - Exportadores;;No;No;No;No;No;No;14;14;Yes;2/01/2023;;
659069;Landing Page Submission;Google;No;No;0;5;432;1.67;Chat Conversation;SG1A - Agentes de Carga;;No;No;No;No;No;No;14;18;No;5/03/2023;;
659050;Landing Page Submission;Direct Traffic;No;No;0;2;702;2;Email Opened;SG2B - Exportadores;Asistente de logistica;No;No;No;No;No;No;14;13;Yes;17/11/2023;;
659016;Landing Page Submission;Direct Traffic;Yes;No;0;2;234;1;Email Bounced;SG1A - Agentes de Carga;Asistente de logistica;No;No;No;No;No;No;15;18;Yes;31/03/2023;;
